Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
250220 Bom Jesus;2.0;4.0;0.0;2.0;1.0;1.0;0.0;0.0;7.0;4.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;28.0;250220
250230 Bom Sucesso;3.0;4.0;0.0;2.0;0.0;1.0;0.0;0.0;8.0;5.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;4.0;31.0;250230
250240 Bonito de Santa Fé;1.0;14.0;0.0;5.0;3.0;3.0;0.0;0.0;27.0;4.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;6.0;69.0;250240
250250 Boqueirăo;2.0;19.0;1.0;5.0;0.0;1.0;0.0;0.0;42.0;8.0;5.0;1.0;1.0;5.0;0.0;2.0;1.0;1.0;17.0;111.0;250250
250270 Borborema;1.0;3.0;2.0;10.0;0.0;1.0;0.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;27.0;250270
250280 Brejo do Cruz;1.0;24.0;1.0;9.0;0.0;0.0;0.0;0.0;28.0;13.0;2.0;0.0;0.0;2.0;0.0;2.0;0.0;8.0;14.0;104.0;250280
250290 Brejo dos Santos;6.0;8.0;0.0;2.0;0.0;2.0;0.0;0.0;9.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;35.0;250290
250300 Caaporă;3.0;8.0;2.0;9.0;1.0;3.0;0.0;0.0;36.0;9.0;9.0;0.0;1.0;3.0;0.0;0.0;0.0;5.0;28.0;117.0;250300
250310 Cabaceiras;0.0;2.0;0.0;5.0;0.0;2.0;0.0;0.0;10.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;30.0;250310
250320 Cabedelo;11.0;64.0;1.0;19.0;0.0;9.0;0.0;0.0;93.0;40.0;24.0;5.0;2.0;19.0;0.0;3.0;3.0;2.0;41.0;336.0;250320
