Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
110001 Alta Floresta D'Oeste;4.0;9.0;0.0;3.0;1.0;2.0;0.0;0.0;16.0;8.0;4.0;0.0;0.0;3.0;0.0;6.0;3.0;13.0;27.0;99.0;110001
110037 Alto Alegre dos Parecis;1.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;7.0;3.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;6.0;13.0;41.0;110037
110040 Alto Paraíso;1.0;10.0;0.0;7.0;1.0;0.0;0.0;0.0;25.0;5.0;6.0;0.0;0.0;1.0;0.0;4.0;3.0;10.0;28.0;101.0;110040
110034 Alvorada D'Oeste;1.0;6.0;0.0;4.0;0.0;1.0;0.0;0.0;22.0;6.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;14.0;63.0;110034
110002 Ariquemes;18.0;52.0;6.0;20.0;1.0;6.0;0.0;0.0;98.0;30.0;16.0;0.0;2.0;15.0;0.0;14.0;4.0;10.0;94.0;386.0;110002
110045 Buritis;6.0;9.0;0.0;9.0;1.0;0.0;0.0;0.0;19.0;8.0;2.0;0.0;0.0;5.0;0.0;4.0;1.0;16.0;48.0;128.0;110045
110003 Cabixi;3.0;3.0;0.0;4.0;0.0;1.0;0.0;0.0;5.0;7.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;2.0;28.0;110003
110060 Cacaulândia;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;19.0;110060
110004 Cacoal;13.0;52.0;6.0;33.0;2.0;14.0;0.0;0.0;115.0;20.0;14.0;0.0;0.0;7.0;0.0;8.0;3.0;9.0;73.0;369.0;110004
110070 Campo Novo de Rondônia;5.0;6.0;1.0;2.0;0.0;1.0;0.0;0.0;9.0;2.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;19.0;51.0;110070
110080 Candeias do Jamari;4.0;8.0;0.0;5.0;0.0;1.0;0.0;0.0;12.0;5.0;2.0;0.0;1.0;1.0;1.0;6.0;1.0;8.0;25.0;80.0;110080
110090 Castanheiras;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5.0;15.0;110090
110005 Cerejeiras;2.0;15.0;1.0;5.0;0.0;2.0;0.0;0.0;25.0;10.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;7.0;21.0;93.0;110005
