Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
110092 Chupinguaia;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;5.0;17.0;110092
110006 Colorado do Oeste;3.0;21.0;0.0;2.0;0.0;1.0;0.0;0.0;35.0;10.0;2.0;0.0;0.0;5.0;0.0;7.0;1.0;6.0;15.0;108.0;110006
110007 Corumbiara;2.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;7.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;3.0;33.0;110007
110008 Costa Marques;1.0;4.0;1.0;1.0;0.0;1.0;0.0;0.0;5.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;16.0;35.0;110008
110094 Cujubim;2.0;6.0;0.0;4.0;0.0;0.0;0.0;0.0;10.0;3.0;3.0;0.0;0.0;1.0;0.0;3.0;0.0;7.0;16.0;55.0;110094
110009 Espigăo D'Oeste;4.0;9.0;0.0;7.0;1.0;1.0;0.0;0.0;30.0;10.0;7.0;1.0;0.0;2.0;1.0;2.0;6.0;35.0;14.0;130.0;110009
110100 Governador Jorge Teixeira;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;21.0;110100
110010 Guajará-Mirim;12.0;23.0;2.0;24.0;0.0;3.0;0.0;0.0;59.0;22.0;10.0;0.0;0.0;7.0;0.0;12.0;2.0;2.0;30.0;208.0;110010
110110 Itapuă do Oeste;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;10.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;25.0;110110
110011 Jaru;9.0;39.0;2.0;14.0;1.0;7.0;0.0;0.0;54.0;18.0;3.0;0.0;1.0;4.0;0.0;8.0;2.0;31.0;40.0;233.0;110011
110012 Ji-Paraná;51.0;47.0;1.0;10.0;1.0;5.0;0.0;0.0;151.0;143.0;12.0;0.0;0.0;17.0;4.0;17.0;9.0;164.0;105.0;737.0;110012
110013 Machadinho D'Oeste;4.0;14.0;1.0;5.0;1.0;0.0;0.0;0.0;27.0;8.0;2.0;0.0;1.0;2.0;0.0;2.0;2.0;10.0;30.0;109.0;110013
110120 Ministro Andreazza;3.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;11.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;8.0;36.0;110120
110130 Mirante da Serra;2.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;12.0;3.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;1.0;6.0;34.0;110130
110140 Monte Negro;3.0;11.0;0.0;5.0;0.0;0.0;0.0;0.0;12.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;5.0;12.0;56.0;110140
110014 Nova Brasilândia D'Oeste;4.0;10.0;2.0;6.0;0.0;1.0;0.0;0.0;21.0;4.0;5.0;0.0;0.0;2.0;0.0;6.0;1.0;2.0;10.0;74.0;110014
110033 Nova Mamoré;4.0;9.0;0.0;4.0;0.0;2.0;0.0;0.0;22.0;3.0;6.0;0.0;0.0;0.0;0.0;6.0;1.0;11.0;30.0;98.0;110033
110143 Nova Uniăo;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;19.0;110143
110050 Novo Horizonte do Oeste;0.0;9.0;0.0;1.0;1.0;0.0;0.0;0.0;13.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;6.0;5.0;42.0;110050
110015 Ouro Preto do Oeste;6.0;22.0;0.0;21.0;2.0;4.0;0.0;0.0;64.0;17.0;5.0;0.0;0.0;2.0;0.0;4.0;3.0;5.0;32.0;187.0;110015
110145 Parecis;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;18.0;110145
110018 Pimenta Bueno;5.0;15.0;2.0;9.0;0.0;0.0;0.0;0.0;43.0;7.0;4.0;1.0;0.0;4.0;1.0;9.0;2.0;11.0;37.0;150.0;110018
110146 Pimenteiras do Oeste;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;9.0;110146
110020 Porto Velho;145.0;322.0;10.0;122.0;10.0;24.0;0.0;1.0;415.0;185.0;95.0;2.0;14.0;40.0;6.0;95.0;39.0;178.0;502.0;2205.0;110020
110025 Presidente Médici;4.0;11.0;0.0;14.0;1.0;1.0;0.0;0.0;25.0;10.0;2.0;1.0;0.0;3.0;0.0;0.0;1.0;11.0;9.0;93.0;110025
110147 Primavera de Rondônia;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;20.0;110147
110026 Rio Crespo;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;19.0;110026
110028 Rolim de Moura;17.0;36.0;1.0;12.0;1.0;4.0;0.0;0.0;86.0;12.0;12.0;1.0;0.0;6.0;2.0;3.0;6.0;29.0;46.0;274.0;110028
110029 Santa Luzia D'Oeste;0.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;4.0;28.0;110029
110148 Săo Felipe D'Oeste;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;5.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;18.0;110148
110149 Săo Francisco do Guaporé;2.0;4.0;0.0;2.0;1.0;0.0;0.0;0.0;11.0;3.0;3.0;0.0;0.0;2.0;0.0;2.0;1.0;5.0;14.0;50.0;110149
110032 Săo Miguel do Guaporé;2.0;3.0;1.0;5.0;0.0;0.0;0.0;0.0;16.0;4.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;20.0;59.0;110032
110150 Seringueiras;1.0;4.0;1.0;3.0;0.0;0.0;0.0;0.0;9.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;9.0;33.0;110150
110155 Teixeirópolis;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;10.0;110155
110160 Theobroma;3.0;5.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;7.0;26.0;110160
110170 Urupá;0.0;10.0;0.0;4.0;0.0;0.0;0.0;0.0;14.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;6.0;42.0;110170
110175 Vale do Anari;2.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;8.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;11.0;29.0;110175
110180 Vale do Paraíso;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;23.0;110180
110030 Vilhena;18.0;39.0;4.0;15.0;1.0;11.0;0.0;0.0;94.0;29.0;20.0;0.0;1.0;11.0;0.0;17.0;7.0;18.0;72.0;357.0;110030
110000 Município ignorado - RO;1.0;3.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;18.0;32.0;110000
120001 Acrelândia;3.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;6.0;4.0;2.0;0.0;0.0;1.0;0.0;3.0;1.0;1.0;6.0;31.0;120001
120005 Assis Brasil;2.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;3.0;25.0;120005
120010 Brasiléia;3.0;12.0;0.0;9.0;1.0;0.0;0.0;0.0;17.0;9.0;4.0;0.0;1.0;2.0;0.0;5.0;0.0;16.0;19.0;98.0;120010
120013 Bujari;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;0.0;19.0;120013
120017 Capixaba;3.0;5.0;0.0;2.0;1.0;0.0;0.0;0.0;7.0;2.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;5.0;30.0;120017
120020 Cruzeiro do Sul;15.0;27.0;2.0;16.0;0.0;4.0;0.0;0.0;63.0;35.0;18.0;0.0;0.0;8.0;2.0;13.0;3.0;78.0;43.0;327.0;120020
120025 Epitaciolândia;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;3.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;22.0;6.0;51.0;120025
120030 Feijó;5.0;6.0;1.0;4.0;2.0;2.0;0.0;0.0;27.0;9.0;9.0;0.0;1.0;0.0;0.0;4.0;2.0;22.0;13.0;107.0;120030
120032 Jordăo;1.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;0.0;15.0;120032
120033 Mâncio Lima;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;10.0;9.0;37.0;120033
120034 Manoel Urbano;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;1.0;6.0;4.0;22.0;120034
120035 Marechal Thaumaturgo;3.0;1.0;2.0;3.0;0.0;1.0;0.0;0.0;6.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;4.0;2.0;29.0;120035
120038 Plácido de Castro;0.0;5.0;0.0;5.0;1.0;0.0;0.0;0.0;16.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;22.0;9.0;65.0;120038
120080 Porto Acre;2.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;6.0;5.0;0.0;0.0;1.0;1.0;5.0;1.0;11.0;11.0;56.0;120080
120039 Porto Walter;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;7.0;2.0;21.0;120039
120040 Rio Branco;88.0;224.0;6.0;101.0;29.0;34.0;0.0;0.0;327.0;186.0;89.0;1.0;7.0;43.0;2.0;63.0;21.0;114.0;255.0;1590.0;120040
120042 Rodrigues Alves;2.0;4.0;1.0;2.0;0.0;1.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;4.0;28.0;120042
120043 Santa Rosa do Purus;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;15.0;120043
120050 Sena Madureira;13.0;6.0;3.0;11.0;1.0;2.0;0.0;0.0;29.0;13.0;11.0;0.0;0.0;4.0;1.0;12.0;1.0;26.0;16.0;149.0;120050
120045 Senador Guiomard;6.0;6.0;1.0;9.0;1.0;2.0;0.0;0.0;24.0;6.0;5.0;1.0;0.0;3.0;1.0;0.0;4.0;4.0;12.0;85.0;120045
120060 Tarauacá;12.0;12.0;2.0;9.0;1.0;1.0;0.0;0.0;23.0;10.0;8.0;0.0;0.0;2.0;0.0;7.0;1.0;33.0;15.0;136.0;120060
120070 Xapuri;2.0;3.0;2.0;6.0;0.0;0.0;0.0;0.0;22.0;6.0;4.0;0.0;0.0;1.0;0.0;5.0;1.0;14.0;4.0;70.0;120070
120000 Município ignorado - AC;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;120000
130002 Alvarăes;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;6.0;5.0;24.0;130002
130006 Amaturá;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;3.0;17.0;130006
130008 Anamă;2.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;6.0;2.0;21.0;130008
130010 Anori;1.0;2.0;0.0;1.0;3.0;1.0;0.0;0.0;5.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;16.0;5.0;42.0;130010
130014 Apuí;1.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;9.0;3.0;5.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;23.0;56.0;130014
130020 Atalaia do Norte;6.0;3.0;0.0;7.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;0.0;0.0;0.0;2.0;5.0;1.0;4.0;3.0;39.0;130020
130030 Autazes;6.0;7.0;0.0;4.0;2.0;1.0;0.0;0.0;17.0;5.0;1.0;0.0;0.0;1.0;0.0;5.0;2.0;29.0;18.0;98.0;130030
130040 Barcelos;3.0;6.0;0.0;4.0;0.0;0.0;0.0;0.0;9.0;5.0;2.0;0.0;0.0;2.0;0.0;3.0;0.0;6.0;6.0;46.0;130040
130050 Barreirinha;6.0;3.0;2.0;7.0;0.0;0.0;0.0;0.0;11.0;3.0;6.0;0.0;0.0;2.0;1.0;5.0;1.0;35.0;1.0;83.0;130050
130060 Benjamin Constant;14.0;13.0;2.0;7.0;1.0;2.0;0.0;0.0;7.0;12.0;1.0;0.0;1.0;0.0;2.0;7.0;0.0;49.0;19.0;137.0;130060
130063 Beruri;1.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;12.0;2.0;1.0;0.0;0.0;1.0;2.0;3.0;1.0;2.0;5.0;36.0;130063
130068 Boa Vista do Ramos;0.0;4.0;0.0;2.0;1.0;1.0;0.0;0.0;6.0;3.0;2.0;0.0;0.0;1.0;0.0;2.0;1.0;12.0;3.0;38.0;130068
130070 Boca do Acre;4.0;7.0;1.0;3.0;1.0;1.0;0.0;0.0;19.0;4.0;8.0;0.0;0.0;0.0;0.0;3.0;1.0;20.0;13.0;85.0;130070
130080 Borba;5.0;14.0;1.0;7.0;0.0;1.0;0.0;0.0;10.0;7.0;4.0;1.0;0.0;1.0;0.0;4.0;4.0;11.0;11.0;81.0;130080
130083 Caapiranga;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;15.0;130083
130090 Canutama;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;6.0;5.0;29.0;130090
130100 Carauari;4.0;8.0;1.0;1.0;1.0;1.0;0.0;0.0;10.0;7.0;4.0;0.0;0.0;2.0;1.0;12.0;0.0;37.0;8.0;97.0;130100
130110 Careiro;2.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;16.0;6.0;2.0;0.0;0.0;1.0;1.0;2.0;2.0;17.0;14.0;72.0;130110
130115 Careiro da Várzea;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;2.0;2.0;0.0;0.0;0.0;1.0;4.0;0.0;29.0;5.0;55.0;130115
130120 Coari;17.0;25.0;1.0;5.0;2.0;1.0;0.0;0.0;58.0;21.0;10.0;0.0;0.0;6.0;0.0;14.0;3.0;25.0;33.0;221.0;130120
130130 Codajás;1.0;6.0;0.0;4.0;0.0;0.0;0.0;0.0;13.0;6.0;4.0;0.0;0.0;1.0;1.0;4.0;4.0;20.0;11.0;75.0;130130
130140 Eirunepé;15.0;12.0;1.0;6.0;2.0;1.0;0.0;0.0;21.0;7.0;7.0;0.0;0.0;0.0;2.0;15.0;10.0;14.0;19.0;132.0;130140
130150 Envira;5.0;6.0;0.0;4.0;3.0;0.0;0.0;0.0;17.0;5.0;6.0;0.0;0.0;1.0;0.0;4.0;1.0;0.0;9.0;61.0;130150
130160 Fonte Boa;6.0;4.0;2.0;2.0;0.0;3.0;0.0;0.0;13.0;6.0;5.0;0.0;0.0;0.0;2.0;2.0;3.0;2.0;10.0;60.0;130160
130165 Guajará;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;18.0;0.0;34.0;130165
130170 Humaitá;3.0;16.0;0.0;4.0;0.0;1.0;0.0;0.0;19.0;15.0;7.0;0.0;0.0;2.0;1.0;4.0;1.0;30.0;19.0;122.0;130170
130180 Ipixuna;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;17.0;0.0;31.0;130180
130185 Iranduba;14.0;18.0;1.0;11.0;0.0;0.0;0.0;0.0;35.0;6.0;4.0;0.0;2.0;2.0;1.0;4.0;5.0;20.0;29.0;152.0;130185
130190 Itacoatiara;16.0;21.0;2.0;17.0;0.0;1.0;0.0;0.0;59.0;27.0;14.0;0.0;3.0;3.0;0.0;25.0;4.0;111.0;30.0;333.0;130190
130195 Itamarati;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;12.0;130195
130200 Itapiranga;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;3.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;4.0;4.0;23.0;130200
130210 Japurá;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;9.0;130210
130220 Juruá;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;2.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;21.0;130220
130230 Jutaí;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;15.0;130230
130240 Lábrea;3.0;7.0;2.0;6.0;3.0;0.0;0.0;0.0;22.0;4.0;8.0;1.0;0.0;2.0;2.0;8.0;1.0;19.0;13.0;101.0;130240
130250 Manacapuru;18.0;33.0;0.0;22.0;4.0;4.0;0.0;0.0;70.0;31.0;15.0;1.0;3.0;9.0;2.0;14.0;10.0;18.0;55.0;309.0;130250
130255 Manaquiri;2.0;3.0;1.0;3.0;0.0;0.0;0.0;0.0;9.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;11.0;41.0;130255
130260 Manaus;535.0;1436.0;47.0;455.0;33.0;125.0;0.0;6.0;1535.0;706.0;350.0;21.0;47.0;133.0;31.0;263.0;184.0;902.0;1555.0;8364.0;130260
130270 Manicoré;5.0;11.0;0.0;8.0;1.0;0.0;0.0;0.0;22.0;8.0;3.0;0.0;0.0;0.0;0.0;12.0;5.0;40.0;8.0;123.0;130270
130280 Maraă;4.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;5.0;0.0;7.0;1.0;27.0;130280
130290 Maués;9.0;18.0;0.0;14.0;1.0;1.0;0.0;0.0;22.0;18.0;7.0;1.0;1.0;0.0;0.0;8.0;3.0;79.0;29.0;211.0;130290
130300 Nhamundá;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;26.0;0.0;42.0;130300
130310 Nova Olinda do Norte;5.0;8.0;0.0;5.0;0.0;0.0;0.0;0.0;19.0;1.0;2.0;0.0;0.0;0.0;1.0;5.0;1.0;26.0;10.0;83.0;130310
130320 Novo Airăo;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;14.0;10.0;41.0;130320
130330 Novo Aripuană;0.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;7.0;10.0;36.0;130330
130340 Parintins;18.0;38.0;1.0;49.0;1.0;2.0;0.0;0.0;93.0;17.0;6.0;0.0;1.0;4.0;0.0;18.0;8.0;45.0;33.0;334.0;130340
130350 Pauini;3.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;10.0;4.0;3.0;0.0;0.0;0.0;0.0;2.0;2.0;5.0;5.0;40.0;130350
130353 Presidente Figueiredo;5.0;14.0;1.0;7.0;1.0;2.0;0.0;0.0;14.0;7.0;6.0;0.0;0.0;0.0;1.0;3.0;2.0;4.0;17.0;84.0;130353
130356 Rio Preto da Eva;1.0;10.0;0.0;3.0;0.0;0.0;0.0;0.0;12.0;5.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;8.0;17.0;65.0;130356
130360 Santa Isabel do Rio Negro;2.0;5.0;0.0;4.0;0.0;1.0;0.0;0.0;5.0;5.0;2.0;0.0;0.0;0.0;1.0;3.0;2.0;8.0;7.0;45.0;130360
130370 Santo Antônio do Içá;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;3.0;0.0;1.0;0.0;0.0;7.0;0.0;33.0;6.0;61.0;130370
130380 Săo Gabriel da Cachoeira;14.0;8.0;1.0;13.0;1.0;0.0;0.0;0.0;25.0;19.0;4.0;0.0;0.0;3.0;2.0;9.0;4.0;66.0;45.0;214.0;130380
130390 Săo Paulo de Olivença;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;0.0;2.0;0.0;4.0;1.0;52.0;4.0;76.0;130390
130395 Săo Sebastiăo do Uatumă;0.0;5.0;0.0;3.0;1.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;5.0;27.0;130395
130400 Silves;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;3.0;9.0;27.0;130400
130406 Tabatinga;30.0;16.0;2.0;15.0;1.0;4.0;0.0;0.0;28.0;28.0;10.0;0.0;1.0;3.0;2.0;12.0;6.0;12.0;37.0;207.0;130406
130410 Tapauá;1.0;4.0;2.0;2.0;0.0;0.0;0.0;0.0;9.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;18.0;5.0;48.0;130410
130420 Tefé;17.0;17.0;1.0;16.0;1.0;6.0;0.0;0.0;23.0;13.0;11.0;1.0;0.0;4.0;0.0;17.0;1.0;31.0;30.0;189.0;130420
130423 Tonantins;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;13.0;130423
130426 Uarini;3.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;6.0;1.0;0.0;0.0;0.0;1.0;5.0;6.0;3.0;5.0;38.0;130426
130430 Urucará;0.0;4.0;0.0;7.0;0.0;0.0;0.0;0.0;12.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;9.0;44.0;130430
130440 Urucurituba;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;16.0;1.0;36.0;130440
130000 Município ignorado - AM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;130000
140005 Alto Alegre;2.0;7.0;0.0;1.0;1.0;1.0;0.0;0.0;9.0;4.0;1.0;1.0;0.0;2.0;0.0;1.0;2.0;0.0;8.0;40.0;140005
140002 Amajari;7.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;4.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;6.0;32.0;140002
140010 Boa Vista;58.0;158.0;7.0;79.0;2.0;19.0;0.0;0.0;234.0;86.0;65.0;5.0;3.0;17.0;1.0;43.0;19.0;58.0;244.0;1098.0;140010
140015 Bonfim;6.0;2.0;1.0;5.0;1.0;0.0;0.0;0.0;4.0;3.0;0.0;2.0;0.0;2.0;0.0;2.0;2.0;0.0;8.0;38.0;140015
